index,date,value,group
171,1/1/2014,300090.9091,MD 
172,2/1/2014,301363.6364,MD 
173,3/1/2014,296000,MD 
174,4/1/2014,292909.0909,MD 
175,5/1/2014,314272.7273,MD 
176,6/1/2014,311454.5455,MD 
177,7/1/2014,324454.5455,MD 
178,8/1/2014,309181.8182,MD 
179,9/1/2014,310818.1818,MD 
180,10/1/2014,311363.6364,MD 
181,11/1/2014,285181.8182,MD 
182,12/1/2014,291454.5455,MD 
183,1/1/2015,288545.4545,MD 
184,2/1/2015,290545.4545,MD 
185,3/1/2015,282545.4545,MD 
186,4/1/2015,281272.7273,MD 
187,5/1/2015,286545.4545,MD 
188,6/1/2015,304181.8182,MD 
189,7/1/2015,293272.7273,MD 
190,8/1/2015,316000,MD 
191,9/1/2015,293727.2727,MD 
192,10/1/2015,284818.1818,MD 
193,11/1/2015,302454.5455,MD 
194,12/1/2015,308818.1818,MD 
195,1/1/2016,312363.6364,MD 
196,2/1/2016,290272.7273,MD 
197,3/1/2016,282727.2727,MD 
198,4/1/2016,308636.3636,MD 
199,5/1/2016,311636.3636,MD 
200,6/1/2016,312090.9091,MD 
201,7/1/2016,336727.2727,MD 
202,8/1/2016,312909.0909,MD 
203,9/1/2016,320454.5455,MD 
204,10/1/2016,313454.5455,MD 
205,11/1/2016,323181.8182,MD 
206,12/1/2016,300090.9091,MD 
207,1/1/2017,313454.5455,MD 
208,2/1/2017,314181.8182,MD 
209,3/1/2017,300181.8182,MD 
210,4/1/2017,323363.6364,MD 
211,5/1/2017,326181.8182,MD 
212,6/1/2017,332090.9091,MD 
213,7/1/2017,360818.1818,MD 
214,8/1/2017,330727.2727,MD 
215,9/1/2017,329363.6364,MD 
216,10/1/2017,320181.8182,MD 
217,11/1/2017,329090.9091,MD 
218,12/1/2017,332454.5455,MD 
219,1/1/2018,338000,MD 
220,2/1/2018,325363.6364,MD 
221,1/1/2012,274000,NC 
222,2/1/2012,271285.7143,NC 
223,3/1/2012,278571.4286,NC 
224,4/1/2012,262000,NC 
225,5/1/2012,273857.1429,NC 
226,6/1/2012,291714.2857,NC 
227,7/1/2012,294857.1429,NC 
228,8/1/2012,284571.4286,NC 
229,9/1/2012,287285.7143,NC 
230,10/1/2012,256857.1429,NC 
231,11/1/2012,274428.5714,NC 
232,12/1/2012,287571.4286,NC 
233,1/1/2013,220600,NC 
234,2/1/2013,234600,NC 
235,3/1/2013,237700,NC 
236,4/1/2013,243100,NC 
237,5/1/2013,262800,NC 
238,6/1/2013,272400,NC 
239,7/1/2013,254800,NC 
240,8/1/2013,255500,NC 
241,9/1/2013,267600,NC 
242,10/1/2013,257100,NC 
243,11/1/2013,252100,NC 
244,12/1/2013,268000,NC 
245,1/1/2014,237700,NC 
246,2/1/2014,236100,NC 
247,3/1/2014,269000,NC 
248,4/1/2014,265900,NC 
249,5/1/2014,246727.2727,NC 
250,6/1/2014,265272.7273,NC 
251,7/1/2014,261727.2727,NC 
252,8/1/2014,249363.6364,NC 
253,9/1/2014,241000,NC 
254,10/1/2014,246636.3636,NC 
255,11/1/2014,243454.5455,NC 
256,12/1/2014,261454.5455,NC 
257,1/1/2015,247363.6364,NC 
258,2/1/2015,247727.2727,NC 
259,3/1/2015,263272.7273,NC 
260,4/1/2015,264545.4545,NC 
261,5/1/2015,275636.3636,NC 
262,6/1/2015,279181.8182,NC 
263,7/1/2015,282363.6364,NC 
264,8/1/2015,272909.0909,NC 
265,9/1/2015,260181.8182,NC 
266,10/1/2015,269818.1818,NC 
267,11/1/2015,265181.8182,NC 
268,12/1/2015,270727.2727,NC 
269,1/1/2016,249454.5455,NC 
270,2/1/2016,262272.7273,NC 
271,3/1/2016,282454.5455,NC 
272,4/1/2016,283181.8182,NC 
273,5/1/2016,290000,NC 
274,6/1/2016,301181.8182,NC 
275,7/1/2016,291545.4545,NC 
276,8/1/2016,295636.3636,NC 
277,9/1/2016,275636.3636,NC 
278,10/1/2016,277727.2727,NC 
279,11/1/2016,292090.9091,NC 
280,12/1/2016,302181.8182,NC 
281,1/1/2017,278363.6364,NC 
282,2/1/2017,287636.3636,NC 
283,3/1/2017,297090.9091,NC 
284,4/1/2017,307636.3636,NC 
285,5/1/2017,315000,NC 
286,6/1/2017,320090.9091,NC 
287,7/1/2017,321181.8182,NC 
288,8/1/2017,305090.9091,NC 
289,9/1/2017,304636.3636,NC 
290,10/1/2017,304090.9091,NC 
291,11/1/2017,304909.0909,NC 
292,12/1/2017,300545.4545,NC 
293,1/1/2018,300000,NC 
294,2/1/2018,309272.7273,NC 
295,1/1/2009,183545.4545,PA 
296,2/1/2009,174181.8182,PA 
297,3/1/2009,177181.8182,PA 
298,4/1/2009,182363.6364,PA 
299,5/1/2009,189818.1818,PA 
300,6/1/2009,204909.0909,PA 
301,7/1/2009,211363.6364,PA 
302,8/1/2009,208818.1818,PA 
303,9/1/2009,197727.2727,PA 
304,10/1/2009,189454.5455,PA 
305,11/1/2009,188545.4545,PA 
306,12/1/2009,201545.4545,PA 
307,1/1/2010,192000,PA 
308,2/1/2010,180583.3333,PA 
309,3/1/2010,188500,PA 
310,4/1/2010,196583.3333,PA 
311,5/1/2010,193833.3333,PA 
312,6/1/2010,208833.3333,PA 
313,7/1/2010,211750,PA 
314,8/1/2010,215333.3333,PA 
315,9/1/2010,206166.6667,PA 
316,10/1/2010,198250,PA 
317,11/1/2010,196000,PA 
318,12/1/2010,194250,PA 
319,1/1/2011,184916.6667,PA 
320,2/1/2011,188166.6667,PA 
321,3/1/2011,184583.3333,PA 
322,4/1/2011,183500,PA 
323,5/1/2011,191750,PA 
324,6/1/2011,207166.6667,PA 
325,7/1/2011,204333.3333,PA 
326,8/1/2011,197666.6667,PA 
327,9/1/2011,198416.6667,PA 
328,10/1/2011,182083.3333,PA 
329,11/1/2011,184666.6667,PA 
330,12/1/2011,184666.6667,PA 
331,1/1/2012,204288.4615,PA 
332,2/1/2012,203596.1538,PA 
333,3/1/2012,211807.6923,PA 
334,4/1/2012,222192.3077,PA 
335,5/1/2012,218826.9231,PA 
336,6/1/2012,237307.6923,PA 
337,7/1/2012,234538.4615,PA 
338,8/1/2012,232730.7692,PA 
339,9/1/2012,221269.2308,PA 
340,10/1/2012,222134.6154,PA 
341,11/1/2012,209346.1538,PA 
342,12/1/2012,223807.6923,PA 
343,1/1/2013,211250,PA 
344,2/1/2013,206500,PA 
345,3/1/2013,214769.2308,PA 
346,4/1/2013,225826.9231,PA 
347,5/1/2013,223903.8462,PA 
348,6/1/2013,242596.1538,PA 
349,7/1/2013,246692.3077,PA 
350,8/1/2013,242692.3077,PA 
351,9/1/2013,229673.0769,PA 
352,10/1/2013,220846.1538,PA 
353,11/1/2013,223076.9231,PA 
354,12/1/2013,223076.9231,PA 
355,1/1/2014,224692.3077,PA 
356,2/1/2014,217365.3846,PA 
357,3/1/2014,207038.4615,PA 
358,4/1/2014,225807.6923,PA 
359,5/1/2014,225346.1538,PA 
360,6/1/2014,241846.1538,PA 
361,7/1/2014,249750,PA 
362,8/1/2014,245653.8462,PA 
363,9/1/2014,227807.6923,PA 
364,10/1/2014,225076.9231,PA 
365,11/1/2014,226192.3077,PA 
366,12/1/2014,223942.3077,PA 
367,1/1/2015,221230.7692,PA 
368,2/1/2015,213961.5385,PA 
369,3/1/2015,229307.6923,PA 
370,4/1/2015,233923.0769,PA 
371,5/1/2015,238096.1538,PA 
372,6/1/2015,244692.3077,PA 
373,7/1/2015,248826.9231,PA 
374,8/1/2015,251000,PA 
375,9/1/2015,230923.0769,PA 
376,10/1/2015,232365.3846,PA 
377,11/1/2015,237288.4615,PA 
378,12/1/2015,227173.0769,PA 
379,1/1/2016,233673.0769,PA 
380,2/1/2016,221653.8462,PA 
381,3/1/2016,221884.6154,PA 
382,4/1/2016,237807.6923,PA 
383,5/1/2016,241538.4615,PA 
384,6/1/2016,250769.2308,PA 
385,7/1/2016,251673.0769,PA 
386,8/1/2016,250000,PA 
387,9/1/2016,244673.0769,PA 
388,10/1/2016,241192.3077,PA 
389,11/1/2016,240115.3846,PA 
390,12/1/2016,223942.3077,PA 
391,1/1/2017,237269.2308,PA 
392,2/1/2017,233480.7692,PA 
393,3/1/2017,245173.0769,PA 
394,4/1/2017,241326.9231,PA 
395,5/1/2017,256019.2308,PA 
396,6/1/2017,264807.6923,PA 
397,7/1/2017,266788.4615,PA 
398,8/1/2017,267173.0769,PA 
399,9/1/2017,256326.9231,PA 
400,10/1/2017,251884.6154,PA 
401,11/1/2017,257230.7692,PA 
402,12/1/2017,247692.3077,PA 
403,1/1/2018,251038.4615,PA 
